dev_id;developer;otkrytost;sayt;katalog;filtry;planirovki;primer;proverennye_proekty;primechanie;provereno;zhk_v_prodazhe_v_baze
villagio-estate;Villagio Estate;по запросу;https://villagio-vip.ru;https://villagio-vip.ru/search/?mapCardsType=HouseCards&IsForSale=true&Type=200;да;;Раздоры-2: дом 1327 м² — «Цена по запросу»;Раздоры-2, Сады Майендорф;"Лоты (дома) показаны с площадью, но цена везде «по запросу»; на sadmayendorf.ru — «от 738,4 млн» и «Цена по запросу», лоты подгружаются JS";23.09.2026;1
gk-sever;ГК Север;по запросу;https://dius-mfk.ru/;;нет;нет;;DIUS;"Указана только минимальная площадь (""от 41 м²""), каталога и цен нет, только форма ""Заказать звонок""";23.09.2026;1
om-development;ОМ Девелопмент;по запросу;https://om-botanichesky.ru/;;нет;нет;;ОМ Ботанический;"Нет цен и каталога, только форма ""Получить презентацию""/запись на просмотр";23.09.2026;1
pao-ie-zhkkh;ПАО ИЭ ЖКХ;по запросу;https://domastris.ru/;https://domastris.ru/;да;нет;Astris: 1 спальня, 56 м², 5/45 этаж — «цена по запросу»;Astris (Косыгина, 21);Есть фильтр (площадь/этаж/спальни/отделка) и видны параметры лотов, но цены явно помечены «по запросу» — нигде не показана ни одна сумма.;23.09.2026;1
sz-5-donskoy;СЗ 5 Донской;по запросу;https://fivetowers.moscow/;;нет;нет;;Five Towers;"Статический лендинг с общими диапазонами площадей по комнатности, без цен; кнопки ""Узнать цены""/""Оставить заявку"" ведут на форму";23.09.2026;1
sz-sokolniki;СЗ Сокольники (Новая эра);по запросу;https://n-era.com/;https://online.n-era.com/;нет;нет;;КОД Сокольники;"На n-era.com нет цен; каталог вынесен на портал online.n-era.com, который требует входа по SMS-коду на телефон - без регистрации ничего не видно (kodsokolniki.com отдавал 403)";23.09.2026;1
sz-tretiy-rim;СЗ Третий Рим;по запросу;https://nikitsky6.ru/;;нет;нет;;Никитский 6;Указаны только общие параметры («57 квартир, 90,4–276,3 м²»), интерактивного каталога и цен на сайте нет.;23.09.2026;1
sz-ekran;СЗ ЭКРАН;по запросу;https://russian-seasons.ru/;https://russian-seasons.ru/;нет;нет;;Русские Сезоны;"Раздел «Планировки квартир»/«Выбор квартир» есть в навигации, но данные не отображаются в статике; цены только по звонку.";23.09.2026;1
spetsstroy-1;Спецстрой-1;по запросу;https://specstroy-1.ru/;;нет;нет;;Поклонная 7;Нет каталога/цен, только контакты офиса продаж и телефон;23.09.2026;1
tk-alladin;ТК «Алладин»;по запросу;https://apart-sokolniki.ru/;;да;нет;;Резиденция Сокольники;"Фильтр подбора (комнатность/цена/площадь/этаж) есть, но данные по лотам не отображаются («Показать апартаменты» без результатов); нужен звонок/заявка.";23.09.2026;1
elita-eko-gk-imena;Элита-Эко / ГК Имена;по запросу;https://doromille.ru/;;нет;нет;;Д'оро Миле (D'oro Mille);"Ссылки на 'Выбор по параметрам' и визуальный подбор есть, но данные (цены/площади конкретных лотов) не загружаются в статике; требуется звонок/заявка. Домен doromille.homes отдаёт 403.";23.09.2026;1
villagio-estate-villagio-realty;Villagio Estate / Villagio Realty;по запросу;https://villagio-vip.ru;https://villagio-vip.ru/search/?mapCardsType=HouseCards&IsForSale=true&Type=200;да;;Раздоры-2: дом 1327 м² — «Цена по запросу»;Раздоры-2, Сады Майендорф;"Лоты (дома) показаны с площадью, но цена везде «по запросу»; на sadmayendorf.ru — «от 738,4 млн» и «Цена по запросу», лоты подгружаются JS";23.09.2026;0
gruppa-psn;Группа ПСН;по запросу;https://44polyanka.com/;;нет;нет;;Полянка/44;"Прямо указано «цена квартиры по запросу», фильтров и открытого реестра лотов нет; сайт-витрина ссылается на партнёрский сайт продаж.";23.09.2026;0
vos-hod;Vos'hod;нет своего сайта;;;;;;Ahead, Armani/Casa Moscow Residences, BRUSOV;"Собственный сайт девелопера не найден (voshod.ru/.moscow не резолвятся, voshod.com — домен продаётся, на novostroev в карточке застройщика ссылки нет). Сайт проекта ahead.moscow (Tilda) отдаёт 403 Forbidden, brusov.ru не открывается. По novostroev: Armani/Casa — «цена по запросу», Brusov — продажи не начаты, Ahead — цены диапазонами. Вердикт «нет сайта» — по результатам поиска в браузере, без веб-поиска; если сайт существует под другим доменом — перепроверить.";23.09.2026;3
494-unr;494 УНР;нет своего сайта;;;нет;нет;;Ренессанс;Собственного сайта застройщика/проекта не найдено — только агрегаторы (novostroy-m.ru, cian.ru, vladis.ru и др.).;23.09.2026;1
galaxy-group;Galaxy Group;нет своего сайта;;;нет;нет;;Досфлота 10 (комплекс апартаментов);Собственного сайта застройщика/проекта не найдено — только агрегаторы (novostroy.ru, cian.ru, zastroev.ru и т.п.).;23.09.2026;1
r4s-group;R4S Group;нет своего сайта;;;нет;нет;;Большая Никитская 16;"r4s.ru/realty4sale.ru — это платформа коммерческой недвижимости, не сайт проекта; отдельного сайта у жилого проекта «Большая Никитская 16» не найдено, только агрегаторы (novostroev.ru, stroiki.ru).";23.09.2026;1
spektrstroy;СпектрСтрой;нет своего сайта;;;нет;нет;;Рогожский вал 12;Собственного сайта застройщика/проекта не найдено, только агрегаторы (novostroy.ru, cian.ru, mskguru.ru и др.).;23.09.2026;1
ezks;ЭЗКС;нет своего сайта;;;нет;нет;;Лайм;"Собственный сайт застройщика/проекта не найден - во всех результатах поиска только агрегаторы и брокерские страницы (cian, novostroy-m, gdeetotdom, zastroev.ru и т.п.); прямого домена ЭЗКС или ЖК Лайм не обнаружено";23.09.2026;1
miel-nedvizhimost;Миэль-Недвижимость;нет своего сайта;;;нет;нет;;Барвиха Клаб;"Это коттеджный посёлок; собственного сайта девелопера/застройщика не найдено — только страницы брокеров-агрегаторов (cottage.ru, rublevka-road.ru, slrealty.ru и т.п.). poselok-barvikha-club.ru не резолвится.";23.09.2026;0
pik;ПИК+;не удалось проверить;https://www.pik.ru;;да;да;Индиво: студия 22,93 м², корп. 4.1, 2 эт. — 19 357 506 ₽ (текущая цена 17 034 605 ₽);Соул, Пейв, Татум, Моментс, Портленд, Индиво, Натив;"pik.ru закрыт от автоматического доступа (403, защита Qrator); цены по проектам ПИК сняты из фида застройщика на Циан. У FORMA (forma.ru) каталог открыт.";23.09.2026;16
gk-kortros;ГК КОРТРОС;не удалось проверить;https://kortros.ru;https://kortros.ru/projects/tate#flats;нет;нет;;Тейт (Tate), УЛЬТИМА Сити (Ultima City), HeadLiner, iLove, Сикрет Гарден;"Повторно в браузере 23.09.2026: kortros.ru/projects/tate — снова 403 «Доступ к сайту kortros.ru запрещен» (Qrator). Лендинг проекта tate.kortros.ru открывается, но цен и лотов на нём нет (только «Скидки до 21%», «машино-места от 4,5 млн»), все кнопки «Выбрать квартиру/Все квартиры» ведут в каталог на kortros.ru (403). Поддомены ultima/ultimacity/headliner/ilove/secret-garden.kortros.ru не существуют (DNS), ultimacity.ru — на парковочном IP reg.ru. Вердикт поставить нельзя; вероятно, каталог на k";23.09.2026;5
stenoy;Stenoy;не удалось проверить;https://stenoy.group/;;нет;нет;;Оро (ORO), Артель, Scala (Скала);"Повторно в браузере 23.09.2026: stenoy.ru по https не грузится, по http — заглушка хостинга «Не добавлен на хостинг». Нашёлся корпоративный сайт stenoy.group (о девелопере, документы, контакты, кабинет агента) — каталога, цен и ссылок на проекты нет. Найденные сайты проектов artel.moscow, oro-house.ru, scala.house — брокерские лендинги с пометкой «Данный сайт не является официальным сайтом застройщика»; цен по лотам нет, только кнопки «Узнать цены» (форма), на oro-house.ru — «от 10 млн ₽» и диап";23.09.2026;3
kr-properties;KR Properties;не удалось проверить;http://www.kr-pro.ru/;;нет;нет;;Кузнецкий Мост 12;Проверено в браузере 23.09.2026. krp.ru — НЕ сайт застройщика: припаркованный домен «Домен продаётся» (Руцентр, 669 500 ₽). Сайт KR Properties по справочнику dommsk.ru — www.kr-pro.ru: в браузере не открывается ни по https, ни по http. kr-properties.ru, kuznetskymost12.ru, kuznetskymost12.com — пустая страница «Welcome to nginx!» (по https не грузятся). kuznetskymost.com — брокерский лендинг («не является официальным сайтом застройщика»), цен нет, только «Оставить заявку». Работающего официально;23.09.2026;1
e-development;Е-Девелопмент;не удалось проверить;https://www.edevelopment.ru/;;нет;нет;;Клубный дом Точка отсчета;"Проверено в браузере 23.09.2026: www.edevelopment.ru (и главная, и /projects/tochka-otscheta/) отдаёт ошибку Bitrix «[mysqli_sql_exception] Connection refused» — сайт застройщика сломан (БД недоступна). Домен проекта tochkaotscheta.ru сейчас ведёт на онлайн-казино (по прошлой проверке) — в браузере НЕ открывал и не взаимодействовал; в поиске DuckDuckGo он всё ещё значится как «Клубный дом «Точка отсчета»» с рекламной меткой erid. Другого официального сайта не найдено (в выдаче только агрегаторы)";23.09.2026;1
