name;developer;class_final;class_declared;class_disputed;price_check;okrug;district;address;lat;lon;geo_precision;type;units_total;parking;stage;deadline;price_from_m2;penthouses;penthouse_flag;website;sources
Муза (MUSE);ГК Мангазея;элитный;премиум/элит, новый старт 2026;да;;САО;Аэропорт;Красноармейская ул., 11;55.79900;37.55500;квартал (каталог);квартиры+апартаменты;309;149;строится;2029;857700;да;да;;kvadroom.ru, cian.ru, Метриум, coords approx
Николь (Nicole);MR Group;делюкс;премиум/элит / делюкс;да;;ЦАО;Тверской;район метро Площадь Революции;55.75557;37.62349;адрес;квартиры;;316;строится;2027-2028;2325000;;;https://mr-group.ru;kvadroom.ru, novostroev.ru, coords approx
Космо 4/22;Галс-Девелопмент;делюкс;делюкс / делюкс;да;;ЦАО;Замоскворечье;Космодамианская набережная, 4/22;55.74421;37.63966;адрес;апартаменты;92;;сдан, есть остатки;сдан;1415600;11;да;https://hals-development.ru;kvadroom.ru, coords approx
Артель;Stenoy;премиум;премиум;;;ВАО;Преображенское;Электрозаводская ул.;55.78761;37.70547;адрес;квартиры;;58;строится;2027;610500;;;;kvadroom.ru, coords approx
Река (клубный дом);Донстрой;элитный;премиум/элит;да;;ЗАО;Раменки;район метро Мичуринский проспект;55.69627;37.50461;адрес;квартиры;;;строится, есть сданные;2029;842000;да;да;;kvadroom.ru, coords approx
Спрингс (Springs);UNIQ Development;элитный;премиум/элит;да;цена не бьётся с классом;ЗАО;Фили-Давыдково;;55.73081;37.45908;адрес;квартиры;;;строится;2027;672600;;;;kvadroom.ru
Достижение;Sminex;премиум;премиум;;;СВАО;Марфино;;55.84627;37.58393;адрес;квартиры;;;сдан, есть остатки;сдан;640400;;;;novostroev.ru
26 Парквью;MR Group;премиум;премиум;;;САО;Тимирязевский;ул. Тимирязевская;55.81926;37.56231;адрес;квартиры;;;строится;2029;770000;;;;novostroev.ru, anwin.ru
Демидов 26;Оникс-Девелопмент;премиум;премиум;;;ЦАО;Басманный;;55.76943;37.65707;адрес;квартиры;;;строится;2028;;;;;novostroev.ru
Кинг энд Санс (King & Sons);October Group;элитный;премиум/элит;да;;ЗАО;Раменки;Мосфильмовская ул., 31А;55.71261;37.51212;адрес;квартиры;;;строится;2027;1100000;;;;novostroev.ru, kvadroom.ru
Дом А;Брусника;премиум;премиум;;;ЮАО;Даниловский;Дубининская ул., 59к5;55.71911;37.63480;адрес;квартиры;;;строится;2027;560100;;;;novostroev.ru, cian.ru
Аурус Резиденции;ГК Страна Девелопмент;премиум;премиум, новый старт 2026;;;ЦАО;Пресненский;2-й Красногвардейский проезд;55.75266;37.53448;адрес;квартиры;;;старт продаж;2029;;;;;Метриум, anwin.ru, coords approx
ОНЕ (ONE);MR Group;премиум;премиум, новый старт;;;ЦАО;Пресненский;1-й Красногвардейский проезд, Москва-Сити;55.75050;37.53938;адрес;квартиры;;;строится;2030;;;;;Метриум, anwin.ru, coords approx
Айс Тауэрс (ICE Towers);Град Девелопмент;премиум;премиум;;;ЗАО;Проспект Вернадского;;55.68160;37.51635;адрес;квартиры;;;строится;;;;;;Метриум/mirkvartir.ru
Деко Резиденс;;премиум;премиум;;;ЮАО;Даниловский;;55.71197;37.63186;адрес;апартаменты;;;строится;;;;;;Метриум/mirkvartir.ru
Глоракс Премиум Белорусская;GloraX;премиум;премиум;;;САО;Беговой;;55.78360;37.56021;адрес;апартаменты;;;строится;;;;;;Метриум/finance.mail.ru
Сикрет Гарден;ГК КОРТРОС;премиум;премиум;;;ЮЗАО;Обручевский;;55.65424;37.53941;адрес;квартиры;;;строится;2029;537000;;;;novostroev.ru
Quartier d'Or (Картьер д'Ор);RARITECO;делюкс;премиум / делюкс;да;;ЦАО;Замоскворечье;ул. Большая Татарская, 21;55.74028;37.63286;адрес;квартиры;;;строится;2026;1600000;;;;novostroev.ru
Обыденский №1;Sminex;делюкс;делюкс;;;ЦАО;Хамовники;3-й Обыденский пер., вл. 1, стр. 1;55.74252;37.60409;адрес;квартиры;26;41;сдан, есть остатки;I кв. 2026;2800000;да (348,5-781,6 кв.м);да;https://www.sminex.com;metrium 1H2026 | novostroev.ru | intermark.ru | coords approx
Лаврушинский;Sminex;делюкс;делюкс;;;ЦАО;Якиманка;Большой Толмачёвский пер., 5;55.73973;37.62108;адрес;квартиры;;;сдан, есть остатки;сдан;2300000;да (664,1 кв.м);да;https://www.sminex.com;metrium 1H2026 | novostroev.ru | coords approx
Палашёвский 11;Sminex;делюкс;делюкс;;;ЦАО;Тверской;Большой Палашёвский пер., 11-13;55.76496;37.59964;адрес;квартиры;43;;строится;I кв. 2030;3000000;;;https://www.sminex.com;novostroev.ru | novostroev.ru/articles | coords approx
Ильинка 3/8;Sminex;делюкс;делюкс;;;ЦАО;Тверской;ул. Ильинка, 3/8;55.75455;37.62389;адрес;квартиры;;;сдан, есть остатки;III кв. 2025;2200000;;;https://www.sminex.com;novostroev.ru | coords approx
Рождественка 8;Sminex;делюкс;делюкс;;;ЦАО;Мещанский;ул. Рождественка, 8;55.76622;37.62469;адрес;квартиры;;;строится;IV кв. 2029;4200000;;;https://www.sminex.com;novostroev.ru | coords approx
Фон Дессин (Fon Dessin);Sminex;делюкс;делюкс;;;ЦАО;Басманный;Потаповский пер., 5, стр. 4;55.76172;37.64045;адрес;квартиры;36;;строится;II кв. 2026;2300000;;;https://www.sminex.com;novostroev.ru | intermark.ru | coords approx
Фрунзенский;Sminex;элитный;элитный;;;ЦАО;Хамовники;Фрунзенская наб., 30;55.72506;37.58254;адрес;квартиры;;;строится;III кв. 2027;2000000;;;https://www.sminex.com;novostroev.ru | metrium 1Q2026 | coords approx
Городская усадьба в Орлово-Давыдовском;Sminex;элитный;элитный;;;ЦАО;Мещанский;Орлово-Давыдовский пер., 2;55.78306;37.63937;адрес;квартиры;;;сдан, есть остатки;III кв. 2025;;;;https://www.sminex.com;novostroev.ru | coords approx
Vesper Погодинская;Vesper;делюкс;делюкс;;;ЦАО;Хамовники;ул. Погодинская, вл. 24, стр. 1, 2;55.73072;37.56424;адрес;квартиры;64;100;строится (котлован);IV кв. 2028;;;;https://www.vespermoscow.com;novostroev.ru | novostroev.ru/articles | coords approx
Левенсон (Levenson);Vesper;делюкс;делюкс;;;ЦАО;Пресненский;Трёхпрудный пер., 9;55.76530;37.59656;адрес;квартиры;;;строится;III кв. 2027;2700000;;;https://www.vespermoscow.com;novostroev.ru | moskvadeluxe.ru | coords approx
Vesper Kutuzovsky (ODA Gallery);Vesper;элитный;элитный;;;ЗАО;Дорогомилово;Кутузовский пр-т;55.74731;37.55353;адрес;квартиры;;;строится;I кв. 2028;1300000;;;https://www.vespermoscow.com;novostroev.ru | coords approx
Узоры;Capital Alliance (СЗ Вражский);делюкс;делюкс;;;ЦАО;Хамовники;2-й Вражский пер., 8, стр. 2;55.73917;37.57428;адрес;квартиры;73;84;строится (котлован);IV кв. 2028;;;;https://zhk-uzory.com;novostroev.ru | NF Group 1Q2026 | coords approx
LUCE (Люче);MR Group;делюкс;делюкс;;;ЦАО;Арбат;Крестовоздвиженский пер., 4;55.75162;37.60552;адрес;квартиры;46;;строится;III кв. 2026;;;;https://mr-group.ru;intermark.ru | novostroev.ru | coords approx
CLOS 17;MR Group;делюкс;делюкс;;;ЦАО;Арбат;;55.75011;37.59211;адрес;квартиры;;;строится;III кв. 2026;2300000;;;https://mr-group.ru;novostroev.ru
Veil (Роден);MR Group;делюкс;делюкс;;;ЦАО;Басманный;Большой Харитоньевский пер., 13А, стр. 10;55.76553;37.64744;адрес;квартиры;;;анонс;;;;;https://mr-group.ru;novostroev.ru | mskdeluxe.ru | novostroev.ru/articles | coords approx
Казачий;MR Group;элитный;элитный;;;ЦАО;Якиманка;1-й Казачий пер., 10, стр. 1;55.73569;37.62174;адрес;квартиры;;;строится;III кв. 2029;;;;https://mr-group.ru;novostroev.ru | elitnoe.ru | coords approx
Монблан;Галс-Девелопмент;элитный;элитный;;;ЦАО;Замоскворечье;Шлюзовая наб., 2/1;55.73094;37.64334;адрес;квартиры;341;267;строится;I кв. 2028;1000000;;;https://hals-development.ru/realty/object/monblan;metrium 1H2026 | novostroev.ru | coords approx
Большая Татарская 35;Донстрой;элитный;элитный;;;ЦАО;Замоскворечье;ул. Большая Татарская, вл. 35;55.73753;37.63546;адрес;квартиры;472;603;строится;I кв. 2028;1400000;да;да;https://tatarskaya35.com;metrium 1H2026 | novostroev.ru | donstroy.moscow | coords approx
ДОМ XXII;Донстрой;делюкс;делюкс;;;ЦАО;Хамовники;ул. Ефремова;55.72599;37.57567;адрес;квартиры;;;строится;IV кв. 2026;;;;https://dom-xxii.ru;novostroev.ru | coords approx
Хамовники 12;COLDY;делюкс;делюкс;;;ЦАО;Хамовники;1-й пер. Тружеников, 12;55.73811;37.57233;адрес;квартиры;51;;сдан, есть остатки;IV кв. 2025;2600000;;;;novostroev.ru | intermark.ru | homexpert.me | coords approx
Большой Козихинский 22;Dominanta / COLDY;делюкс;делюкс;;;ЦАО;Пресненский;Большой Козихинский пер., 22;55.76464;37.59522;адрес;квартиры;98;;старт продаж;;;;;https://kozihinsky22.zhk.center;novostroev.ru | novostroev.ru/articles | coords approx
Саввинская 27;Level Group;элитный;элитный;;;ЦАО;Хамовники;Саввинская наб., 27;55.73432;37.56416;адрес;квартиры;;;сдан, есть остатки;I кв. 2026;1900000;;;https://level.ru;novostroev.ru | coords approx
Левшинский 19 (Your MAJESTY);СЗ Смоленский бульвар;элитный;элитный;;;ЦАО;Хамовники;Большой Левшинский пер., 19;55.74128;37.58562;адрес;квартиры;;;строится;II кв. 2028;;;;;novostroev.ru | coords approx
Пыжевский;TEKTA GROUP;делюкс;делюкс;;;ЦАО;Замоскворечье;Пыжевский пер.;55.73871;37.62285;адрес;квартиры;;;строится;II кв. 2029;2300000;;;https://tekta.com;novostroev.ru | coords approx
Русские Сезоны;СЗ ЭКРАН;делюкс;делюкс;;;ЦАО;Замоскворечье;Большая Ордынка / Пятницкая / Климентовский пер.;55.74116;37.63019;адрес;квартиры;;;сдан, есть остатки;IV кв. 2025;4100000;;;;novostroev.ru | homexpert.me | coords approx
Садовническая 69;ГК Балчуг Девелопмент;элитный;элитный;;;ЦАО;Замоскворечье;Садовническая ул., 69;55.73717;37.64241;адрес;квартиры;;;строится;II кв. 2028;1400000;;;;novostroev.ru | moskvadeluxe.ru | coords approx
Красный Октябрь;ГУТА-Девелопмент;элитный;элитный;;;ЦАО;Якиманка;Берсеневская наб., 5, стр. 1;55.74254;37.61139;адрес;квартиры;29;;строится;III кв. 2026;;;;;intermark.ru | novostroev.ru | coords approx
Малая Ордынка 14;ГУТА-Девелопмент;делюкс;делюкс;;;ЦАО;Замоскворечье;ул. Малая Ордынка, 14;55.73737;37.62519;адрес;квартиры;11;;анонс;;;;;;novostroev.ru/articles | novostroev.ru | coords approx
DUO;Hutton Development;делюкс;делюкс;;;ЦАО;Якиманка;Софийская наб., 34, стр. 3;55.74742;37.62344;адрес;квартиры;49;;строится;II кв. 2026;2100000;;;https://hutton.ru;novostroev.ru | intermark.ru | kf.expert | coords approx
CULT (Клубный дом Культ);GRAVION;элитный;элитный;;;ЦАО;Якиманка;Ленинский пр-т, 2;55.68604;37.54120;адрес (расходится с каталогом >3 км — проверить);апартаменты;80;17;сдан, есть остатки;сдан;950000;12;да;;metrium 1H2026 | novostroy-m.ru | novostroev.ru | coords approx
Armani/Casa Moscow Residences;Vos'hod;делюкс;делюкс;;;ЦАО;Якиманка;Старомонетный пер., 19/11;55.73996;37.61945;адрес;квартиры;27;31;сдан, есть остатки;сдан (07.2024);2750000;3 (238-421 кв.м);да;;metrium 1H2026 | novostroy.ru | coords approx
LA BELLE MAISON;GBK GROUP;элитный;элитный;;;ЦАО;Якиманка;;55.73842;37.61472;адрес;квартиры;;;строится;III кв. 2028;;;;;novostroev.ru
Никитский 6;СЗ Третий Рим;делюкс;делюкс;;;ЦАО;Арбат;Никитский бул., 6/20;55.75387;37.60078;адрес;квартиры;;;строится;IV кв. 2026;2800000;;;;novostroev.ru | moskvadeluxe.ru | coords approx
EDEN;Sense Development;делюкс;делюкс;;;ЦАО;Арбат;Нижний Кисловский пер., 7;55.75377;37.60386;адрес;квартиры;22;;старт продаж;III кв. 2029;;;;;novostroev.ru | novostroev.ru/articles | coords approx
Дом спорта;Capital Group;делюкс;делюкс;;;ЦАО;Пресненский;;55.74816;37.54022;адрес;квартиры;92;;строится;I кв. 2029;;;;https://capitalgroup.ru;novostroev.ru | novostroev.ru/articles
Большая Никитская 16;R4S Group;делюкс;делюкс;;;ЦАО;Пресненский;ул. Большая Никитская, 16;55.75721;37.60090;адрес;квартиры;4;;старт продаж;III кв. 2026;;;;;novostroev.ru/articles | coords approx
Stella di Mosca;;делюкс;делюкс;;;ЦАО;Пресненский;ул. Большая Никитская, 9/15, стр. 1;55.75598;37.60694;адрес;квартиры;14;;сдан, есть остатки;сдан;;;;;intermark.ru | coords approx
Камергер;Engeo Development;элитный;элитный;;;ЦАО;Тверской;;55.76233;37.60797;адрес;квартиры;;;строится;III кв. 2026;;;;;novostroev.ru
Энигмия;Upside Development;элитный;элитный;;;ЦАО;Тверской;;55.76764;37.60100;адрес;квартиры;;;строится;IV кв. 2028;1200000;;;;novostroev.ru
Кузнецкий Мост 12;KR Properties;элитный;элитный;;;ЦАО;Тверской;ул. Кузнецкий Мост, 12;55.76133;37.62126;адрес;квартиры;;;строится;IV кв. 2026;;;;https://krp.ru;novostroev.ru | coords approx
Малая Дмитровка 5/9;;делюкс;делюкс;;;ЦАО;Тверской;ул. Малая Дмитровка, 5/9;55.76802;37.60560;адрес;квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | sosedi.life | coords approx
Тессинский V;Element Development;элитный;элитный;;;ЦАО;Таганский;Тессинский пер., 5;55.75057;37.65065;адрес;квартиры;;;строится;III кв. 2029;1400000;;;;novostroev.ru | novostroev.ru/articles | coords approx
Turgenev (Клубный дом Тургенев);Неострой;элитный;элитный;;;ЦАО;Красносельский;Костянский пер., 13;55.76935;37.63548;адрес;квартиры;118;;сдан, есть остатки;сдан;1900000;;;;novostroev.ru | intermark.ru | coords approx
Усачева 22;Regions Development;делюкс;делюкс;;;ЦАО;Хамовники;ул. Усачёва, 22;55.72772;37.56996;адрес;квартиры;;;анонс;;;;;;novostroev.ru | novostroev.ru/articles | coords approx
Annabel's (1913);PALLADIO Group;элитный;элитный;;;ЦАО;Хамовники;Курсовой пер., 12/5, стр. 7;55.73992;37.60475;адрес;квартиры;;;анонс;;;;;;novostroev.ru | moskvadeluxe.ru | coords approx
Хилков;ROSE GROUP;делюкс;делюкс;;;ЦАО;Хамовники;Хилков пер., 5;55.73835;37.59705;адрес (OSM, уточнено 21.09);квартиры;;;анонс;;;;;;novostroev.ru | homehunter.ru | mskdeluxe.ru | coords approx
Олсуфьевский 10;;делюкс;делюкс;;;ЦАО;Хамовники;Олсуфьевский пер., 10;55.73381;37.57944;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;https://olsufevsky.ru;mskdeluxe.ru | coords approx
Лё Дом (Le Dome);Группа ЛСР;делюкс;делюкс;;;ЦАО;Хамовники;Соймоновский проезд;55.74266;37.60473;адрес (OSM, уточнено 21.09);квартиры;;;строится;III кв. 2026;;;;;novostroev.ru | homexpert.me | coords approx
Льва Толстого 14;;делюкс;делюкс;;;ЦАО;Хамовники;ул. Льва Толстого, 14;55.73288;37.58873;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Земледельческий 15;;делюкс;делюкс;;;ЦАО;Хамовники;Земледельческий пер., 15;55.74195;37.57855;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Большая Пироговская 51;;делюкс;делюкс;;;ЦАО;Хамовники;ул. Большая Пироговская, 51;55.72763;37.56286;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Капранова 3;;делюкс;делюкс;;;ЦАО;Пресненский;Капранова пер., 3;55.75812;37.57262;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Малая Никитская 29-31;;делюкс;делюкс;;;ЦАО;Пресненский;ул. Малая Никитская, 29-31;55.75898;37.58732;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Большая Ордынка 25;;делюкс;делюкс;;;ЦАО;Замоскворечье;ул. Большая Ордынка, 25;55.74033;37.62529;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Воздвиженка 7/6;;делюкс;делюкс;;;ЦАО;Арбат;ул. Воздвиженка, 7/6;55.75232;37.60542;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Малая Полянка 3;;делюкс;делюкс;;;ЦАО;Якиманка;ул. Малая Полянка, 3;55.73596;37.61752;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Берниковская набережная 12;;делюкс;делюкс;;;ЦАО;Таганский;Берниковская наб., 12;55.74882;37.65143;адрес (OSM, уточнено 21.09);квартиры;;;анонс;2026-2027;;;;;mskdeluxe.ru | coords approx
Резиденции Сколково;Абсолют Недвижимость;бизнес;бизнес;;;Сколково;рп Заречье, Одинцовский г.о., Сколковское шоссе, ~2 км от МКАД;Московская обл., Одинцовский г.о., рп Заречье;55.68300;37.38200;квартал (каталог);квартиры;;;строится;2 кв. 2027 (корп. 2.1-2.2), 3 кв. 2026 (корп. 6.1-6.2);319000;;;;novostroy-m.ru/baza/rezidencii_skolkovo, mskguru.ru (319-554 тыс/м2), novostroev.ru — класс указан как премиум, координаты approx
Skolkovo ONE;IKON Development;бизнес;бизнес;;;Сколково;рп Заречье, Одинцовский г.о., ул. Торговая, ~2 км от МКАД;Московская обл., Одинцовский г.о., рп Заречье, ул. Торговая, корп. 5-7;55.68700;37.38000;квартал (каталог);квартиры;;;сдан, есть остатки;корп. 4-6 сданы;364000;;;https://skolkovoone.ru/;novostroy-m.ru/baza/jk_zarechnyy_kvartal, mskguru.ru (364-501 тыс/м2), координаты approx
Сколково Парк;Заречье-девелопмент;премиум;премиум;;;Сколково;рп Заречье, Одинцовский г.о., ул. Весенняя, ~2 км от МКАД;Московская обл., Одинцовский г.о., рп Заречье, ул. Весенняя, вл. 2;55.68000;37.38900;квартал (каталог);квартиры;442;;сдан, есть остатки;;;;;https://www.park-skolkovo.ru/;park-skolkovo.ru — цена от 95,4 млн руб за лот 129 м2, цена за м2 не заявлена, координаты approx
Заречье Парк;Группа Самолет;бизнес;бизнес;;;Сколково;рп Заречье, Одинцовский г.о., ул. Заречная;Московская обл., Одинцовский г.о., рп Заречье, ул. Заречная;55.68869;37.39413;адрес (OSM, уточнено 21.09);квартиры;105;;строится;4 кв. 2027;325387;;;;cian.ru (zhk-zareche-park-odintsovo), novostroev.ru, 88 квартир в продаже от застройщика, координаты approx
Гранель Притяжение Сити;ГК Гранель;бизнес;бизнес;;;Сколково;Одинцовский г.о., ~7 мин до Сколково;Московская обл., Одинцовский г.о.;55.69300;37.36000;зона (ориентир);квартиры;;;строится;3-4 кв. 2028;281200;;;https://granelle.ru/;granelle.ru/objects, cian.ru (метро Сколково), 217 квартир в продаже от 7,5 млн руб, адрес и координаты не подтверждены
Клубный дом Точка отсчета;Е-Девелопмент;бизнес;бизнес;;;Рублёвка;Жуковка-1, Рублёво-Успенское шоссе, ~9 км от МКАД;Московская обл., Одинцовский г.о., Жуковка-1, ул. Сосновый Бор, д. 53;55.74200;37.25700;квартал (каталог);квартиры;80;53;сдан, есть остатки;сдан;533000;;;;novostroy-m.ru/baza/klubnyy_dom_tochka_otscheta, mskguru.ru (467-534 тыс/м2), 35 квартир в продаже, координаты approx
Level Barvikha Residence;Level Group (СЗ МастерСтрой);бизнес;бизнес;;;Рублёвка;д. Барвиха, Рублёво-Успенское шоссе, 8 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха, Рублёво-Успенское ш., 8-й км;55.73750;37.28390;квартал (каталог);квартиры;80;139;сдан, есть остатки;сдан;;;;;novostroy-m.ru/baza/jk_level_barvikha_residence, cian.ru, продажи от застройщика завершены, остатки на рынке, координаты approx
Barvikha River House;СЗ ЛСР. Объект-М (Группа ЛСР);премиум;премиум;;;Рублёвка;д. Барвиха, Рублёво-Успенское шоссе, ~8 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха;55.73600;37.28000;квартал (каталог);апартаменты;;;анонс;;;;;;novostroev.ru/.../barvikha-river-house, novostroy.ru/buildings/barvikha-river-house, стадия проектирования, продажи не открыты, координаты approx
СберСити в Рублёво-Архангельском;АО СЗ СберСити (Рублёво-Архангельское);бизнес;бизнес;;;Рублёвка;мкр Рублёво-Архангельское, Ильинское шоссе, ~2 км от МКАД (административно Москва, ЗАО, Кунцево);Москва, ЗАО, р-н Кунцево, мкр Рублёво-Архангельское;55.78500;37.33500;квартал (каталог);квартиры;;;строится;2026-2028 (часть корпусов сдана);680000;;;;novostroy-m.ru/baza/rublevoarhangelskoe, pronovostroy.ru, координаты approx
Riga Hills;СЗ ЖК Яркий. Рига;бизнес;бизнес;;;Рублёвка;д. Бузланово, Новорижское шоссе, ~9 км от МКАД, г.о. Красногорск;Московская обл., г.о. Красногорск, д. Бузланово;55.80900;37.31800;квартал (каталог);квартиры;;;строится;4 кв. 2026;;;;;novostroev.ru/novostroyki/moskovskaya-oblast-shosse/rublyevo-uspenskoe-shosse, cian.ru (zhk-riga-hills), цена от 8,8 млн руб за лот, координаты approx
Маслово Forest Club;Галс-Девелопмент (СЗ Галс-Маслово);премиум;премиум;;;Рублёвка;д. Маслово / Николина Гора, Ильинское шоссе, 28 км от МКАД;Московская обл., Одинцовский г.о., д. Маслово, ул. Пальмовая, д. 120;55.71890;37.06300;квартал (каталог);коттеджи;119;;сдан, есть остатки;строительство завершено, часть очередей 3 кв. 2026;95232000;;;https://hals-development.ru/realty/object/maslovo;КОТТЕДЖНЫЙ ПОСЁЛОК — в поле price_from_m2 указана цена лота (от 95,2 млн руб), hals-development.ru, novostroy-m.ru, cian.ru, координаты approx
Березки River Village;Галс-Девелопмент;элитный;элитный;;;Рублёвка;д. Солослово, Рублёво-Успенское шоссе, 17 км от МКАД;Московская обл., Одинцовский г.о., д. Солослово;55.72760;37.17700;квартал (каталог);коттеджи;38;;сдан, есть остатки;сдан (2018);180000000;;;https://hals-development.ru/realty/object/berezki;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 180 млн руб), cian.ru, novostroikino.ru, intermark.ru, 42 лота в продаже, координаты approx
Раздоры-2;Villagio Estate / Villagio Realty;элитный;элитный;;;Рублёвка;д. Раздоры, Рублёво-Успенское шоссе, 5 км от МКАД;Московская обл., Одинцовский г.о., с.п. Барвихинское, Раздоры-2;55.75240;37.32430;квартал (каталог);коттеджи;;;сдан, есть остатки;сдан;575000000;;;https://villagio-vip.ru/villages/246/;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 575 млн руб по kf.expert), villagio-vip.ru, intermark.ru, barvikha.moscow, координаты approx
Жуковка XXI;Villagio Estate;элитный;элитный;;;Рублёвка;д. Жуковка, Рублёво-Успенское шоссе, 8-10 км от МКАД;Московская обл., Одинцовский г.о., д. Жуковка;55.74200;37.25000;квартал (каталог);коттеджи;;;сдан, есть остатки;сдан;738400000;;;;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 738,4 млн руб), kf.expert, intermark.ru, barvikha.moscow, координаты approx
ParkVille Жуковка;Villagio Estate;премиум;премиум;;;Рублёвка;д. Жуковка, Рублёво-Успенское шоссе, 9-10 км от МКАД;Московская обл., Одинцовский г.о., д. Жуковка;55.74500;37.25500;квартал (каталог);таунхаусы;;;сдан, есть остатки;сдан;586600000;;;;КОТТЕДЖНЫЙ ПОСЁЛОК/ТАУНХАУСЫ — цена лота (kf.expert от 586,6 млн руб, kre.ru называет от 120 млн — расхождение), intermark.ru, координаты approx
Барвиха XXI;Villagio Estate;делюкс;делюкс;;;Рублёвка;д. Барвиха, Рублёво-Успенское шоссе, 5-7 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха;55.73900;37.29500;квартал (каталог);коттеджи;48;;сдан, есть остатки;сдан;457500000;;;;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 457,5 млн руб), kf.expert, kalinka-realty.ru (DeLuxe), barvikha.moscow, 48 участков, координаты approx
Барвиха Клаб;Миэль-Недвижимость;элитный;элитный;;;Рублёвка;д. Барвиха, Рублёво-Успенское шоссе, 8 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха;55.73500;37.29000;квартал (каталог);таунхаусы;110;;сдан, есть остатки;сдан;68000000;;;;ТАУНХАУСЫ/КП — цена лота (от 68 млн руб), vesco-realty.ru/zagorod/poselki/barviha-klab, kalinka-realty.ru (DeLuxe), координаты approx
Барвиха Хиллс;;премиум;премиум;;;Рублёвка;д. Барвиха, Рублёво-Успенское шоссе, 8 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха;55.73400;37.28700;квартал (каталог);таунхаусы;110;;сдан, есть остатки;сдан;30000000;;;https://barvikhahills.ru/;ТАУНХАУСЫ/КП — цена лота (от 30 млн руб), slrealty.ru/house/village/barviha-hills-hills, архитектор Эрик ван Эгераат, девелопер не подтверждён, координаты approx
Сады Майендорф;Villagio Estate;элитный;элитный;;;Рублёвка;д. Барвиха, Рублёво-Успенское шоссе, 9 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха;55.73000;37.27000;квартал (каталог);коттеджи;;;сдан, есть остатки;сдан;716200000;;;https://sadmayendorf.ru/;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 716,2 млн руб), kf.expert, barvikha.moscow, координаты approx
Ландшафт;;бизнес;;;цена не бьётся с классом;Рублёвка;Рублёво-Успенское шоссе, 9 км от МКАД, Одинцовский г.о.;Московская обл., Одинцовский г.о.;55.72500;37.27600;км шоссе (ориентир);коттеджи;;;сдан, есть остатки;сдан;1460000000;;;;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 1,46 млрд руб), kf.expert/zagorod/poselki/rublevo-uspenskoe-shosse, девелопер и координаты не подтверждены
Горки-8;;премиум;премиум;;;Рублёвка;Горки-8, Рублёво-Успенское шоссе, 15 км от МКАД;Московская обл., Одинцовский г.о., Горки-8;55.71500;37.19500;квартал (каталог);коттеджи;;;сдан, есть остатки;сдан;320000000;;;;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 320 млн руб), kf.expert, vesco-realty.ru, intermark.ru, 10-11 лотов в продаже, координаты approx
Речной;;премиум;премиум;;;Рублёвка;Рублёво-Успенское шоссе, 7 км от МКАД, Одинцовский г.о.;Московская обл., Одинцовский г.о.;55.73700;37.30800;км шоссе (ориентир);коттеджи;;;сдан, есть остатки;сдан;;;;;КОТТЕДЖНЫЙ ПОСЁЛОК, vesco-realty.ru/zagorod/shosse/rublevo-uspenskoe/poselki, дома 600-3150 м2, девелопер, цена и координаты не подтверждены
Ильинские дачи;;бизнес;;;цена не бьётся с классом;Рублёвка;Ильинское шоссе, 10 км от МКАД, Одинцовский/Красногорский г.о.;Московская обл., Ильинское шоссе, 10 км;55.76900;37.21100;квартал (каталог);коттеджи;;;сдан, есть остатки;сдан;160000000;;;;КОТТЕДЖНЫЙ ПОСЁЛОК — цена лота (от 160 млн руб), kf.expert/zagorod/poselki/rublevo-uspenskoe-shosse, координаты approx
